Date,PM10,SO2,CO,O3,NO2
20130329,58.542,0.006,0.500,0.019,0.037
20130330,34.500,0.006,0.454,0.015,0.040
20130331,42.500,0.005,0.454,0.022,0.030
20130401,36.875,0.006,0.504,0.016,0.037
20130403,38.167,0.006,0.592,0.019,0.039
20130404,77.917,0.009,0.637,0.021,0.047
20130405,70.583,0.009,0.617,0.015,0.052
20130406,28.125,0.006,0.542,0.020,0.029
20130407,15.708,0.004,0.413,0.021,0.019
20130408,40.500,0.006,0.442,0.022,0.032
20130409,57.792,0.006,0.429,0.024,0.026
20130410,30.375,0.004,0.408,0.020,0.025
20130412,31.500,0.005,0.425,0.017,0.030
20130413,45.250,0.007,0.467,0.015,0.039
20130414,66.417,0.006,0.429,0.019,0.034
20130416,52.167,0.007,0.471,0.010,0.039
20130417,41.583,0.006,0.479,0.011,0.035
20130418,54.708,0.008,0.554,0.012,0.037
20130419,30.458,0.005,0.446,0.020,0.033
20130420,19.750,0.004,0.454,0.016,0.033
20130421,27.917,0.005,0.425,0.019,0.028
20130422,47.458,0.007,0.525,0.017,0.044
20130424,31.833,0.005,0.487,0.013,0.031
20130425,57.083,0.007,0.554,0.017,0.039
20130426,36.125,0.005,0.408,0.023,0.026
20130427,36.875,0.006,0.450,0.023,0.033
20130428,48.917,0.009,0.517,0.015,0.046
20130429,52.625,0.007,0.479,0.010,0.042
20130430,56.292,0.007,0.496,0.012,0.041
20130501,37.458,0.005,0.396,0.015,0.027
20130503,39.167,0.007,0.508,0.011,0.037
20130504,48.792,0.006,0.471,0.020,0.035
20130505,58.125,0.006,0.504,0.021,0.037
20130506,61.958,0.010,0.533,0.019,0.046
20130507,38.458,0.006,0.429,0.014,0.031
20130509,62.417,0.009,0.583,0.007,0.050
20130510,33.875,0.007,0.492,0.009,0.038
20130511,46.917,0.007,0.525,0.009,0.041
20130512,110.708,0.011,0.700,0.012,0.048
20130514,77.125,0.014,0.554,0.006,0.052
20130515,55.125,0.011,0.496,0.009,0.030
20130516,25.375,0.006,0.450,0.013,0.030
20130517,22.875,0.006,0.400,0.015,0.026
20130518,49.042,0.018,0.517,0.006,0.047
20130519,43.000,0.009,0.500,0.009,0.037
20130520,55.042,0.010,0.550,0.009,0.042
20130521,66.833,0.012,0.579,0.009,0.052
20130523,78.250,0.016,0.579,0.010,0.062
20130524,98.292,0.018,0.704,0.007,0.072
20130525,90.500,0.017,0.587,0.005,0.049
20130526,73.500,0.018,0.496,0.005,0.042
20130527,48.292,0.008,0.442,0.009,0.035
20130528,32.000,0.007,0.471,0.006,0.029
20130530,76.458,0.008,0.492,0.009,0.042
20130531,94.375,0.021,0.692,0.005,0.069
20130601,92.000,0.022,0.667,0.005,0.060
20130602,31.583,0.007,0.383,0.012,0.027
20130604,40.917,0.015,0.463,0.007,0.033
20130605,54.958,0.015,0.558,0.005,0.038
20130606,61.375,0.013,0.554,0.006,0.031
20130607,49.208,0.007,0.500,0.009,0.028
20130608,43.708,0.009,0.438,0.008,0.026
20130609,35.375,0.007,0.396,0.012,0.024
20130611,41.292,0.007,0.487,0.009,0.030
20130612,50.458,0.011,0.533,0.006,0.032
20130613,53.417,0.010,0.454,0.004,0.031
20130614,44.625,0.011,0.517,0.004,0.025
20130615,56.750,0.014,0.546,0.004,0.038
20130616,63.167,0.013,0.542,0.004,0.035
20130617,38.542,0.009,0.450,0.003,0.025
20130619,32.625,0.007,0.529,0.007,0.030
20130620,34.500,0.012,0.496,0.005,0.033
20130621,40.167,0.013,0.471,0.006,0.036
20130622,51.875,0.013,0.467,0.006,0.032
20130623,46.833,0.007,0.529,0.007,0.028
20130625,56.000,0.012,0.567,0.006,0.031
20130626,31.375,0.007,0.487,0.008,0.025
20130627,39.750,0.011,0.533,0.005,0.029
20130628,36.208,0.006,0.471,0.007,0.023
20130629,43.333,0.009,0.467,0.007,0.025
20130630,35.042,0.007,0.429,0.009,0.020
20130702,46.750,0.006,0.408,0.007,0.013
20130703,43.458,0.007,0.438,0.008,0.022
20130704,51.125,0.007,0.496,0.008,0.026
20130705,57.708,0.006,0.438,0.008,0.018
20130706,40.333,0.009,0.442,0.009,0.026
20130707,33.292,0.011,0.425,0.007,0.024
20130710,35.958,0.003,0.413,0.007,0.015
20130711,37.000,0.003,0.400,0.007,0.014
20130712,42.667,0.003,0.371,0.007,0.008
20130713,38.500,0.003,0.388,0.007,0.008
20130715,36.583,0.003,0.396,0.007,0.010
20130716,34.125,0.003,0.383,0.007,0.009
20130717,29.458,0.003,0.354,0.007,0.011
20130718,37.208,0.005,0.462,0.007,0.022
20130720,32.417,0.004,0.363,0.007,0.014
20130721,30.833,0.003,0.333,0.006,0.011
20130723,40.167,0.003,0.396,0.011,0.016
20130724,57.000,0.004,0.454,0.011,0.023
20130725,90.417,0.005,0.771,0.015,0.041
20130726,108.625,0.006,0.888,0.015,0.046
20130727,80.417,0.005,0.683,0.017,0.045
20130728,68.458,0.004,0.517,0.016,0.026
20130729,71.792,0.004,0.592,0.016,0.033
20130731,71.167,0.005,0.492,0.016,0.027
20130801,64.833,0.008,0.517,0.013,0.018
20130802,65.250,0.009,0.571,0.013,0.031
20130803,49.750,0.006,0.438,0.014,0.023
20130804,45.667,0.005,0.417,0.017,0.026
20130805,52.667,0.006,0.588,0.018,0.036
20130807,70.917,0.005,0.487,0.020,0.027
20130808,65.292,0.005,0.508,0.016,0.019
20130809,73.375,0.006,0.583,0.018,0.024
20130810,89.833,0.007,0.629,0.019,0.024
20130811,85.000,0.009,0.650,0.018,0.012
20130813,57.458,0.010,0.600,0.012,0.025
20130814,51.833,0.008,0.521,0.013,0.026
20130815,44.042,0.007,0.446,0.013,0.019
20130816,40.125,0.008,0.483,0.011,0.023
20130827,65.792,0.008,0.588,0.028,0.041
20130828,87.542,0.007,0.629,0.026,0.037
20130829,55.083,0.004,0.429,0.022,0.013
20130831,62.458,0.005,0.554,0.013,0.024
20130901,36.667,0.005,0.388,0.020,0.017
20130902,37.750,0.005,0.462,0.018,0.021
20130904,44.125,0.005,0.467,0.017,0.020
20130905,39.833,0.006,0.454,0.017,0.021
20130906,31.500,0.004,0.392,0.018,0.017
20130907,33.208,0.004,0.408,0.019,0.017
20130908,46.750,0.005,0.487,0.015,0.023
20130909,51.125,0.005,0.475,0.015,0.023
20130912,67.417,0.006,0.592,0.013,0.021
20130913,66.250,0.006,0.567,0.009,0.010
20130914,57.542,0.006,0.467,0.007,0.008
20130915,51.417,0.006,0.454,0.015,0.018
20130916,49.750,0.005,0.429,0.020,0.023
20130918,35.542,0.007,0.429,0.018,0.024
20130919,45.208,0.005,0.404,0.026,0.016
20130920,50.208,0.006,0.425,0.022,0.021
20130921,77.458,0.008,0.638,0.019,0.029
20130922,66.792,0.005,0.429,0.025,0.015
20130924,62.417,0.008,0.496,0.012,0.023
20130925,46.542,0.005,0.433,0.015,0.017
20130926,38.208,0.005,0.396,0.020,0.025
20130927,36.000,0.006,0.404,0.017,0.030
20130928,42.625,0.006,0.442,0.022,0.031
20130929,50.625,0.008,0.438,0.014,0.018
20130930,42.833,0.009,0.454,0.012,0.030
20131001,45.833,0.010,0.458,0.019,0.033
20131002,48.667,0.008,0.442,0.020,0.029
20131003,54.708,0.008,0.438,0.024,0.027
20131005,36.875,0.006,0.371,0.025,0.020
20131006,37.167,0.004,0.350,0.019,0.013
20131007,49.542,0.005,0.421,0.015,0.013
20131008,33.333,0.004,0.350,0.019,0.011
20131011,83.208,0.007,0.462,0.024,0.024
20131012,40.625,0.006,0.388,0.022,0.031
20131013,47.375,0.005,0.479,0.024,0.032
20131014,56.167,0.007,0.508,0.018,0.025
20131016,33.958,0.004,0.362,0.022,0.023
20131017,35.750,0.004,0.425,0.016,0.035
20131018,36.333,0.005,0.388,0.019,0.030
20131020,37.500,0.005,0.413,0.021,0.022
20131021,38.625,0.005,0.458,0.017,0.027
20131024,41.292,0.004,0.479,0.016,0.021
20131025,61.583,0.005,0.446,0.026,0.025
20131026,50.917,0.004,0.438,0.025,0.023
20131027,50.792,0.005,0.467,0.028,0.026
20131028,60.375,0.005,0.600,0.014,0.040
20131029,64.958,0.006,0.579,0.020,0.035
20131030,52.875,0.006,0.487,0.031,0.029
20131102,62.208,0.007,0.583,0.018,0.037
20131103,64.167,0.006,0.629,0.015,0.034
20131104,72.542,0.006,0.625,0.035,0.028
20131106,67.333,0.006,0.700,0.009,0.041
20131107,67.625,0.005,0.475,0.022,0.031
20131108,42.125,0.005,0.408,0.016,0.030
20131109,42.833,0.005,0.429,0.015,0.032
20131110,28.667,0.004,0.337,0.025,0.017
20131111,29.542,0.004,0.325,0.020,0.021
20131113,51.167,0.005,0.496,0.012,0.032
20131114,49.250,0.005,0.529,0.013,0.033
20131115,53.292,0.005,0.504,0.021,0.028
20131116,95.542,0.007,0.683,0.020,0.036
20131117,76.125,0.005,0.446,0.025,0.022
20131119,31.708,0.004,0.329,0.019,0.017
20131120,36.583,0.004,0.337,0.017,0.020
20131121,40.042,0.004,0.379,0.016,0.023
20131123,70.667,0.006,0.558,0.016,0.027
20131124,95.292,0.010,0.571,0.017,0.039
20131125,37.333,0.005,0.454,0.022,0.018
20131127,48.042,0.006,0.438,0.017,0.024
20131128,30.708,0.004,0.350,0.015,0.019
20131129,41.333,0.004,0.383,0.014,0.021
20131130,49.250,0.004,0.446,0.016,0.024
20131201,82.875,0.006,0.600,0.015,0.029
20131202,56.750,0.005,0.433,0.019,0.025
20131204,102.458,0.008,0.658,0.018,0.036
20131205,77.208,0.008,0.642,0.015,0.036
20131206,120.958,0.008,0.688,0.017,0.031
20131207,54.333,0.006,0.492,0.017,0.024
20131208,63.375,0.006,0.646,0.010,0.033
20131209,64.792,0.005,0.888,0.008,0.038
20131211,42.333,0.004,0.425,0.017,0.019
20131212,35.917,0.005,0.417,0.015,0.025
20131213,38.917,0.004,0.408,0.017,0.019
20131214,44.208,0.005,0.446,0.015,0.020
20131215,53.542,0.005,0.463,0.015,0.021
20131217,37.792,0.005,0.496,0.010,0.025
20131218,31.458,0.004,0.388,0.018,0.018
20131219,39.458,0.004,0.417,0.016,0.017
20131220,52.667,0.004,0.467,0.016,0.016
20131221,54.375,0.004,0.433,0.017,0.019
20131222,58.542,0.005,0.504,0.017,0.024
20131224,52.583,0.005,0.537,0.012,0.032
20131225,38.917,0.005,0.517,0.012,0.032
20131226,72.000,0.006,0.558,0.014,0.028
20131227,55.625,0.005,0.488,0.021,0.019
20131228,26.583,0.003,0.346,0.019,0.019
20131229,35.083,0.004,0.413,0.019,0.018
20131230,70.167,0.007,0.588,0.016,0.025
20131231,108.333,0.011,0.692,0.015,0.033
